Name	Series	Description	Ingredients	Instructions	Time	Level
Ponyo Ramen Noodles	Ponyo	Simple instant ramen	"1*package*Nissin Chicken Ramen,400*ml*Boiling Water,1*slice*Cooked Ham,0.5*null*Hard Boiled Egg,0*null*Chopped Green Onion"	"1. Boil the water.||2. Place the noodles in a ramen bowl. Pour boiling water over the noodles and cover. Set and start your timer for three minutes.||3. After the first minute, quickly open, shake the noodles to separate, then arrange the ham, egg, and green onion over the noodles. Cover again and wait until the timer beeps."	3	Easy
Marnie's Thumbprint Cookies	When Marnie Was There 	Vanilla and berry sugar cookie	"1.5*cups*Flour,  0.25*teaspoon*Salt, 0.75*cup*Butter (Room temp), 0.5*cup*Sugar, 1*null*Egg, 0.5*teaspoon*Vanilla Extract, 0*null*Raspberry or Strawberry or Chery Preserves,0*null*Sifted Powdered Sugar (Optional)"	"1. In a medium bowl, whisk the salt into the flour. In a large mixing bowl on med-high speed, cream together the butter & sugar until light & fluffy. Mix in the egg & flavoring until fully combined. Turn the speed to low & gradually add in the flour & beat until a smooth dough is formed. Lay out a large sheet of plastic wrap & plop the cookie dough into the center. Wrap the dough & shape it into a log about 1.5 inches in diameter. Wrap it again is foil & then place it in the fridge for a couple hours or overnight.||2. Line 2 large trays with parchment. Remove the dough from the fridge & cut it into even slices between 0.25 inches - 0.5 inches wide (this will give you uniform cookies). Roll 1 slice at a time in the palms of your hands to make dough balls & place them on the trays about 2 inches apart. Press your thumb into the center of each ball to make a decent indentation, being careful not to go all the way through to the tray below (also, having short thumb nails is best). If the sides crack, simply press them back together.||3. If you're using fruit preserves for the center, spoon a small amount into each thumbprint. Do not mound up the preserves, just let it be a flat little pool. If you're using candied cherries, simply cut them in half & nestle one half-round side up-into each thumbprint. If using maraschino cherries, do the same thing after you've drained & patted||gently squeezed them dry.||4. Chill the cookie trays in the fridge while your oven preheats to 350degreesF. Bake 1 tray at a time on the middle rack for about 12 minutes, or until the cookie bottoms are just beginning to golden. Remove from the oven & gently transfer the cookies to a cooling rack. If you'd like to sprinkle sugar over the cookies (gives them a more Christmas-y vibe), place the cooling rack over the empty baking tray & dust the cookies with sifted powdered sugar, & then let cool. To store, place in an airtight container with wax paper."	720	Medium
Calcifer Breakfast of eggs/bacon/cheese/bread	Howl's Moving Castle	Simple English breakfast	"2*thick slices*Bacon, 4*null*Eggs, 0*null*Sliced Bread, 0*null*Cheese, 0*null*Salt, 0*null*Pepper"	"1. Fry strips of bacon in a cast iron skillet over medium low heat. This keeps the bacon from burning while the fat renders out.|| 2.Once the fat has rendered out, add cracked eggs to the pan. Cook until the eggs have a good crust on them. If the whites need to cook more, kill the heat to the pan and cover with a lid to steam the tops of the egg whites.||3. Serve the eggs and bacon with some sliced bread and cheese and a good sprinkle of salt and pepper. Enjoy!"	5	Easy
Herring Pie or Fish Pie	Kiki's Delivery Service	Savoury fish pie	"4*fillets*Herring Fish, 0*null*Pastry Sheet, 1*null*Leek, 1*null*Medium White Onion, 1*null*Carrot,  5*null*Medium Potatoes, 2*cups*Spinach, 3*null*Eggs, 2*tablespoons*Mustard, 2*null*Bay Leaves, 3*cups*Milk, 2*tablespoons*Salt, 2*tablespoons*Pepper "	"1. Cut up the potatoes and put them in a pot of boiling water.  Boil for about 5 minutes, then add in two eggs and boil for 5 more minutes.  Take out the eggs, and strain the potatoes.  Then mash the potatoes in a bowl with 0.6 cup of milk.||2.Add the mashed potatoes to the bottom of your casserole dish, saving about 1 potato worth of mash in the bowl.||3. Slice all of the vegetables and the hardboiled eggs and saute them in a pan with some oil or butter and the bay leaves.||4. Add in the rest of the milk, the mashed potato that you saved, mustard, salt and pepper.  Cook everything on medium heat stirring occasionally, until the milk reaches a thick consistency, then add it into the casserole pan.  Remember to remove the bay leaves.||5. Cut the fish fillets into 3 inch wide chunks, and then add it into the casserole pan.||6. Unroll the pie crust and put it on top. You can cut it into strips, and cut out a fish if you want to make it like the one in Kiki's Delivery Service. Once you finish covering the casserole pan with the pie crust, beat an egg and brush it on top of the pie crust.||7. Bake in a 350 degree oven for about 20-30 minutes, or until the crust is to your liking."	40	Medium
Chocolate Cake	Kiki's Delivery Service	Classic chocolate dessert	"1*cup*Sugar,0.75*cup*Flour,0.25*cup*Cocoa Powder,1*teaspoon*Baking Soda, 0.25*teaspoon*Baking Powder, 0.25*teaspoon*Salt, 1*null*Egg, 0.5*cup*Buttermilk, 0.5*cup*Cooled Coffee, 0.25*cup*Vegetable Oil, 0.5*teaspoon*Vanilla Extract, 0.5*bag*Chocolate Chips, 0.75*cup*Heavy Whipping Cream,4*tablespoons*Salted Butter, 1*cup*White Frosting,1*null*Green Icing Pen, 1*null*Red Icing Pen"	"1. You'll actually want to start with your frosting, since it needs extra time to chill (in fact, you can make the frosting a day ahead of time if you want). First, place your chocolate chips in a large bowl and set aside.||2. Cook the whipping cream and butter in a saucepan over medium heat until just boiling, stirring frequently. Pour the cream mix over the chocolate and whisk briskly until completely smooth.||3. Place some plastic wrap over the bowl and put it in the fridge to chill. After 1 hour, stir the mix thoroughly. Replace the cover and put the mix back in the fridge for another hour or until it reaches spreading consistency.||4. While you're waiting for the frosting to chill, you can bake your cake! Preheat your oven to 350 degrees. Thoroughly spray a 9-inch round cake pan with cooking spray or grease it with butter and flour. This cake likes to stick, so be sure to thoroughly coat every nook and cranny.||5. Dump the sugar, flour, cocoa, baking soda, baking powder, and salt into a large bowl. Whisk it all up!||6. Whisk in the egg, buttermilk, coffee, oil and vanilla. Beat the mix briskly for 2 minutes.||7. Pour the batter into your pan and bake for 25-30 minutes or until a toothpick inserted in the center comes out clean.||8. When fully baked, set the cake pan on a wire rack to cool for 10 minutes. Then flip the cake out of the pan and allow it to cool completely on the rack.||9. When the cake is cool, spread on a layer of chocolate frosting. Let it set for 5-10 minutes.||10. Use a toothpick to draw out where you'll put the decorative icing. This makes it easier to replicate the look of the cake in the movie. If you make a mistake, just use an icing knife or butter knife to smooth it out.||11. Pipe your decorative icing over the toothpick drawing and allow it to set for another 5-10 minutes."	150	Medium
Bento Box	Totoro	Japanese lunch box	"0*null*Rice, 0*null*Umeboshi (Pickled Plum), 0*null*Edamame, 0*null*Shishamo Fish (Smelt Fish), 1*fillet*Cod Fish, 0*null*Kombu (Seaweed), 2*tablespoons*Sake, 2*tablespoons*Sugar, 1*teaspoon*Salt, 0*null*Red Food Colouring"	"1. Cook Rice.||2. Prepare Shishamo fish: Shishamo fish (or like fish) is usually sold frozen. Defrost and set frying pan to medium heat. And some oil and cook shishamo for about 5 minutes until crispy. Flip over and cook the other side for another 5 minutes. Place on a paper towel to soak the extra oil.||3. Prepare the Sakura Denbu: Sakura Denbu is a type of furikake, a condiment to put on top of rice. It's salty-sweet and commonly pink to represent cherry blossoms. Boil water and add kombu and whole cod. The cod is cooked when you can break it into pieces easily. Drain the cod well. Use a paper towel to squeeze out the extra water from the fish. The dryer, the better is will look as flakes. On a plate, take out any extra bones. Prepare a pan or pot on medium-low heat. Add 2 Tbsp sake, 2 Tbsp sugar, 1 tsp salt to pan, then add the cod. Use chopsticks or other utensil that will break the cod into small flakes. Stir well until liquid evaporates. Lower the heat if the cod starts to over cook. Remove from heat once liquid evaporates. Add two drops of red food coloring and add a little bit of water (you can make the color light or darker to your choosing). Add the food coloring mixture to the cod.  Put under low heat if the flakes get mushy from the water.  Mix well until you get your desired pink color.||4. Prepare the edamame: Boil frozen edamame for 6-10 minutes. Drain water in a colander and shuck the beans.||5. Assemble all in the lunch box to look cute."	30	Medium
Siberia Sponge Cake	The Wind Rises	Layered vanilla and red bean cake	"115*grams*Unsalted Butter, 115*mL*Milk, 7*null*Large Eggs (Room temp), 115*grams*Cake or AP Flour, 115*grams*White Sugar, 120*mL*Water, 10*grams*Gelatin or Agar Agar, 500*grams*Smooth Red Bean Paste"	"1. Preheat your oven to 150C. In a small saucepan add in your butter and milk and over medium heat, melt the butter, stirring occasionally. Remove from heat to slightly cool before using. Optional: You can also melt down 1 tbsp of honey with this mixture if you don't like eggy tasting cakes.||2. Separate the whites and yolks of the eggs. Leave whites aside for meringue.||3. Sieve the flour into a large mixing bowl. Add in your warm butter and milk mixture until well combined (it may look like dough, that's okay). Then in 3-4 additions, mix in your egg yolks until you have a thick batter. Optional: Add 1 tsp of vanilla extract with eggs if you don't like eggy tasting cakes.||4. Whisk your egg whites on medium speed while adding your sugar in a slow, steady stream. Once all the sugar is added, continue whisking until you reach soft peaks (mixture will stay on your whisk, but the tip of the meringue droops).||5. Add your egg yolk mixture to the meringue and gently fold the two mixtures together until well combined and homogenous in colour.||6. Line your baking tins with non-stick spray and baking paper, ensuring to leave overhang for easy removal. Wrap the base of the cake tins with aluminum foil (if they're loose bottom) to ensure water doesn't get into the cakes.||7. Divide the batter between the two tins, and level out the surfaces. Place on your baking||roasting tray and fill with 2cm worth of hot water.||8. Transfer into oven and bake at 150c for 1 hour and the cakes are golden brown.||9. Remove cakes from the oven and allow to cool for 10 minutes before removing from tins to fully cool.||10. In a medium saucepan, bring the water to a boil and stir in gelatin or agar until fully dissolved. Mix in red bean paste until dissolved, thick and glossy. Set aside to cool.||11. Line one baking tin with plastic wrap on all sides, ensuring to leave overhang for easy removal. Place 1 cake, golden side down into the tin. Then add the red bean paste, spreading it out in an even layer. Then, top with remaining cake, golden side up. Refrigerate for 4 hours or until red bean filling is set.||12. When the filling is set, remove the cake from the tray, trim the edges of the cake to show off the well-defined layers. Cut the cake into 8 equal triangles and enjoy!"	720	Medium
Spaghetti Bolognese	Porco Rosso	Italian beef and tomato pasta	"0*null*Oil, 1*can*Crushed Tomatoes, 0.25*null*Large White Onion (Diced), 3*cloves*Garlic, 0*null*Salt and Pepper to taste, 3*null*Bay leaves, 0.5*tablespoon*Italian Spices, 0.5*teaspoon*Sugar"	"1. Heat up the oil and add the onions. Cook in med low until they are slightly soft and slightly see through not all the way. about 3-5 mins.||2. Add the garlic and cook on low for another 3 minuets till everything is soft and slightly colored. Don't cook it till it's brown then it'll be burnt and wont taste good.||3. Open the can of crushed tomatoes and add it. Cook on med low for about 10 mins.||4. Add the bay leafs, Italian spices, salt, and pepper and if you have some fresh basil stir everything and let it cook for another 10-15 minuets. Now if you arent sure about how much spices you want I would add a little bit and add more if you feel like you need it. It is easier to add then to take away and you dont want the sauce to be ruined by over seasoning it.||5. After the sauces has been cooking I like to taste it at this point and see how it tastes. Then I'll add the sugar again same thing add a little and taste till it's perfect for you. I then cook for another 5 minutes and then turn the heat off and let it stand.||6. As the sauce is standing I start the pasta. Just put a pot of water on the stove and wait for it to boil.Once it's boiling I add a little salt and oil this keeps the pasta from sticking and gives it a little bit of a taste.||7. I like my pasta al dente so I check after 9-10 minuets to see if it's ready if you like it softer then wait longer.||8. Strain the pasta heat up the sauce quickly if it's cooled too much and it's done!||9. "	40	Easy
Rice Porridge (Okayu)	Princess Mononoke	Simple and traditional savoury porridge	"0.25*cup*Uncooked Short Grain Rice, 250*mL*Water, 0*null*Chopped Scallion, 0*null*Umeboshi (Pickled Plums), 0*null*Toasted White Sesame Seeds, 0*null*Kizami Nori (Shredded Nori Seaweed), 0*null*Bonito Flakes (Flaked Japanese Salted Salmon), 0*null*Mitsuba (Japanese Parsley)"	"1. Gather all the ingredients. I follow a rice-to-water ratio of 1 to 5 for a thicker consistency in this recipe; to adjust for a runnier consistency, please see the Notes at the end of the recipe card.||2. Rinse 0.25 cup uncooked Japanese short-grain white rice in water, then drain. Repeat until the water runs clear. Drain into a colander and shake off the excess water.||3. Add the well-drained rice and 250 ml water to a heavy-bottomed pot or a donabe earthenware pot, as I have here. If cooking in a donabe, use a towel to wipe off any excess water on the bottom of the pot (or else it may crack under heat). Tip: Select a cooking pot with plenty of room for the rice and water to cook without boiling over.||4. Soak the rice for at least 30 minutes.||5. Cover the pot and bring to a boil over high heat.||5. Once boiling, lower the heat to the stove's lowest setting (make sure to use the right size of stove burner for your pot size). Open the lid and gently mix with a spoon, making sure the rice does not stick to the bottom of the pot.||6. Then, cover with the lid and gently simmer the rice for 30 minutes. During this time, I do not open the lid or mix the rice. Tip: With a good size pot and the lowest heat on the stove, the water should not boil over. If you cook with more water or your pot is smaller than mine, you may want to leave the lid slightly ajar so the water doesn't boil over. Tip: If you are worried, you can take a quick peek to make sure there's enough water so the rice doesn't burn on the bottom of the pot. If necessary, you can stir the rice or add a bit of hot water. Otherwise, don't stir the rice because that may break the rice grains.||7. After 30 minutes, turn off the heat and let it steam with the lid on for 10 minutes. The rice porridge should be soft and thick. If you want to add a beaten egg or salt, this is the time to mix it in. I keep this recipe plain and simple. Serve in individual rice bowls and garnish with toppings of your choice.||8. You can keep the leftovers in an airtight container and keep them for 2 days in the refrigerator or for up to a month in the freezer. "	65	Easy
Soup Dumplings	Spirited Away	Non-poisonous soup dumplings	"150*grams*Pork Fillet (Finely Diced), 50*grams*Bamboo Shoot (Finely Diced),6*null*Shitake Mushroom (Finely Diced), 2*tablespoons*Fried Shallots, 1*tablespooons*Light Soy Sauce, 1*tablespoons*Sugar, 0.5*teaspoon*Pepper, 0.5*teaspoon*Five Spice Powder,50*grams*Rice Flour, 150*grams*Sweet Potato Starch, 275*mL*Water"	"1.Heat 2 tbsp oil in pan, add mushroom and saute till fragrant.||2. Add in bamboo shoots and pork fillet. Fry till meat turn white.||3. Add in seasoning and fried shallots and mix evenly. Remove from heat and set aside.||4. Combine flour with water in a small mixing bowl, stir till well dissolved.||5. Bring a pot of water to a simmer. Place the bowl of flour batter over the pot. Stirring constantly and cook till batter turns thick.||6. Grease 4 small bowls with corn oil. Scoop some cooked batter into each bowl. Lightly grease your fingers and press out the dough to cover the base of the bowl. Fill in meat filling. Top with another layer of cooked dough covering the fillings completely. Using greased fingers to smoothen out the edge and surface. ||7. Steam the meatballs over preheated steamer over high heat for 10 minutes. Cool down for 10 minutes.||8. Heat some oil in pan, remove the meatballs from the bowl and pan fry them till lightly brown on both sides. Drain well and serve with sauce immediately.||9. Optional sauce: mix and simmer 2 tablespoons sweet chilli sauce, 1 tablespoon miso paste, 4 tablespoon Hai Shan sauce, 1 tablespoon sugar, 100mL water. Add in corn starch after simmering to thicken. "	40	Medium
